sequence,Restaurant_Name,Place_ID,Address,Category,"AI_Summary
_Pros",AI_Summary_Cons,Must_Try_Dishes,"Kaki_Maka
n_Tip
(Where the
Soul Is)",Status
6941,RBS Bistro,ChIJeWaxoi85zDER3WNyqbGiWFY,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
6942,Restoran Salman,ChIJi1To9k7JzTERbRp61LWpDEs,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6943,Selera DM Claypot Salad,ChIJIZLoufBrzDERJuAxqdqyy6Q,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6944,老友记茶餐室,ChIJ-5rT3YZLzDERSz3Y1L4BPyY,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6945,Restoran Nasar Maju Nasi Kandar,ChIJ6ydBU2s3zDERAfoUkCAD4Rg,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6946,Restoran Salam Sentosa,ChIJZyKHLF9pzDERWgs1lWTtJGE,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6947,Restoran Salam Sentosa,ChIJZyKHLF9pzDERWgs1lWTtJGE,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6948,Three Element Restaurant,ChIJfbjn3uhozDERt2KfV51VjlQ,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6949,Restoran Salai Berapi,ChIJ84r-oAD9zTERoE5aZLiL13E,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6950,Restoran Tai San Yuen,ChIJ5YBX7jDtyjER58u0dOlWd3I,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
6951,Kedai Makanan Sing Yee,ChIJKRWyLK_tyjERTlN4I17K8fo,"45A-53A, Persiaran Wira Jaya Timur 23A, Ipoh, 31350",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6952,Restoran Gunung View,ChIJs_KmBMLtyjERi0l3b9KjBOU,"132-136, Persiaran Wira Jaya Timur 23, Ipoh, 31350",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6953,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6954,The Douglas Street,ChIJHW8AawqHyzERWRkZluZTUCQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6955,Restoran Ban Heong,ChIJy9grhYVLzDERdWGlVhGS_ig,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6956,Restoran Woh Kee,ChIJUWa2QfhFzDERI7W0bh5sveI,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6957,Restoran Biriyani,ChIJ0QnMgXRLzDEREUIbD_EXh8w,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6958,Lido Seafood Restoran,ChIJGzgGqj0syzERgucilhxPxWE,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6959,Restoran Y Food Box,ChIJrWls5V3uyjERp0fRMKC5Pbk,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6960,Siam Paradigm,ChIJ2SStxV4syzERhQ-IjJkHs5U,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6961,Restoran Sayang Bonda,ChIJL-3YloNZzDERWaPHGX4H02k,,Malaysian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6962,Restoran Mohamaad,ChIJmap0USJHzDERO5CZqp9K8Ao,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6963,Restoran Hoong Pan Mee,ChIJz62pGVhKzDERlj9BA_PJAOA,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6964,cendol,ChIJkzw_jDxNzDERRDMfGntiWpo,Lot 33,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6965,Restoran Hao You,ChIJs5MW3K9LzDER6SV3ad-jT00,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6966,Restoran Sun Mee Fong,ChIJsYVP6-XhyjERpKL7wIUWxco,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6967,Nasi Kerabu RM2.50,ChIJ5WBA_Q5LzDERSzwhE-0EGeg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6968,Warung Opah Zara,ChIJA2juHOqTyjER4GFMTy1Y_PY,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6969,Restoran Dhurbah,ChIJ89QzAAA1zDEREt8KmpxYfko,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6970,Restoran Wan Jia,ChIJQU1zJOdFzDERkU9s7VUINZU,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6971,RBS Bistro,ChIJeWaxoi85zDER3WNyqbGiWFY,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6972,Leng Leng Pork Noodles,ChIJG9sauOhKzDERBBavqwNQ2y8,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6973,Restoran Ali Maju,ChIJr1SaXBg4zDERCPaBtOTS140,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6974,Azuma Sushi,ChIJg6QFiFDBSjAR97ImUZuSicE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6975,dapoq Schombi,ChIJ_StELTRt2jERNPyLXWWrdYQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6976,Restoran Nasi Kandar Pelita,ChIJU9fzNtY3zDERhISIlfr5aqE,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6977,Restoran Nasi Lan Kedah,ChIJR7atzOdSzDER7xNICTab6DU,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6978,Hot Pot King Steamboat & Grill,ChIJo-M2SdBHzDER4_4y6EUEH6g,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6979,Mokyoh Pok kob Nasi,ChIJuxCoGpm3tjER-CyntnW1UIU,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6980,Restoran Al Wadud,ChIJHXe13O1PzDERhNEwrd7p2W4,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6981,Restoran Anuja,ChIJcb1zBDM3zDER4mFW0aBniTk,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6982,Restoran Al Mazhar,ChIJQZZXQcvdzTERy214ByWupXw,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6983,Restoran Cahaya Aini,ChIJz9NLGHPOzTERcrgWrs8HKiA,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6984,Restoran Sayed,ChIJPw-n_MJLzDERy0daFRGNaro,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6985,De Home Cafe,ChIJtV0GZ5mJ-zERjGkL0ZoeV2E,"19, Tarat Jaya, Jalan Kuching-Serian, Serian, 94700",Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
6986,1Qumin Cafe Muslim Food,ChIJD1y1sDJIzDERNyODxZdD_3M,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
6987,New Gen Mum Kitchen,ChIJK1Pst29RzDER4ZhTxYFgSE8,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6988,Nasi Kandar Green Light,ChIJW1DwzKhRzDERHFFg14OeY58,,Malaysian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6989,Hao Xiang Chi Seafood,ChIJQ37yv59TzDEREmJt2Js2enc,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6990,Theatre Restaurant & Gallery,ChIJ4Sw0AFKn-zERtEzyuyRHAvk,"Jalan Tun Abang Haji Openg, 93000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6991,Ikan Bakar Brother Joe,ChIJGaNZfpFLxTERoey57k58YCI,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
6992,San Cai Ting Vegetarian Restaurant,ChIJcVTKAjxGzDERjnSdkaBQwLA,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
6993,Rambai Corner,ChIJn41vmEoQtTERp3bqjjJkx-8,Jalan Kuala Kenderong,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6994,Kedai Makan OS,ChIJ2VxVw40RtTERLU0EFFei0Ig,Jalan Haji Meor Yahya,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6995,Medan Selera Teluk Sengat,ChIJVQ7mVz1E2jERsmIrnDpH6NE,"Jalan Todak, Teluk Sengat, 81940",Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
6996,mee celup,ChIJ4bufAxI1zDERLy-DiCtg-1M,Lot 768,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6997,Ye Mi Won,ChIJ5ZXa9MG6yDER1qa-LGs6_-k,,Restaurant,,,"Korean BBQ, Kimchi, Bibimbap, Bulgogi",Unique dining experience worth exploring!,Processed
6998,Jannah Tomyam,ChIJi0rOVwA5zDER43bn4jXBHjE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
6999,Marigold Palace,ChIJrc4fp2c3zDER0BMTPIT4XX0,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7000,Hot Delis Cafe,ChIJDz7FGXuTyjERjGX-W6PsJhQ,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
7001,BCS Indian Restaurant,ChIJMfs1e1tFzDERAR51I-x9_Zo,"2G, Jalan Nautika B U20/B, Shah Alam, 40160",Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Unique dining experience worth exploring!,Processed
7002,Meru Port Masala House,ChIJHzeqHcxXzDERQyjGc73tbvo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7003,Kedai Makan Buluh Madu,ChIJfdXK4X81zDER0-3bdzYjw98,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7004,Selera Pantai Timur Mamaza,ChIJ4ZMhxSVFzDER50obqUDoqik,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7005,Ketumbar Cafe,ChIJ_xXLnG4zzDERDILRcg_WqG4,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
7006,Nasi Ayam A1,ChIJQeD1g7lJzDERYbC8vXx8W9Q,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7007,Sup Darat,ChIJYe-xmcAGyzERjHARkEyjQZo,"Batu 2, Kampung Pahang",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7008,Restoran Anwar Maju,ChIJMRWb_hxNzDERzXU-RolhtvY,"Jalan USJ Heights 1/1B, Subang Jaya, 47610",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7009,Baba Charlie Restaurant,ChIJT6dr5Lfx0TERTWfbcxF1mI8,"631,, Jalan Siantan 1/5,, Melaka, 75200",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7010,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7011,Nasi Kandar Tayub,ChIJCTop4mqTyjERS_k2vAG9FDA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7012,Singgoh Sokmo,ChIJvcYdLd6XtjERDgqGA5_xsd8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7013,Satay Yunus,ChIJJ2I3U7U5zDERBgO44D8T_os,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7014,Turks KL,ChIJsY-9SIVJzDERWAQvXQ7y5x0,"A2, Block A, Jln Langgak Tunku, Taman Tunku, Kuala Lumpur, 50480",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7015,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7016,Mee Rebus Johor,ChIJ_XN4UbcS2jERy1FePMjG0EI,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7017,Al Mamak,ChIJtTkJloRKzDERKId436Q8fGw,,Mamak,,,"Roti Canai, Teh Tarik, Mee Goreng, Maggi Goreng",24/7 Malaysian-Indian fusion - perfect for late night cravings!,Processed
7018,vani's indian cuisine,ChIJ98fQlfVZyjERV4u3xngdqf8,"1-22, peony square, kuala terla, Cameron Highlands, 39010",Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
7019,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7020,Restoran Sri TTDI,ChIJ2QCDbdBNzDER8JAokfxxI6A,"1G, Jalan Saujana Indah 4, 40150",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7021,JM Bariani House,ChIJM9cWyJvLzTERb_VZrjwt56c,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7022,Ayam Cincang 7 Warisan,ChIJ7RNemw1NzDERhfHsfNgSWro,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7023,Nasi Kalut Jitra Mai,ChIJG0sWR2VNzDER3L1yXJL8aVg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7024,Restoran Auliah ,ChIJj9E9f7ufPzIRkMCtvXt4jJ0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7025,GOLDEN ELATE SDN BHD,ChIJQS3HcbufPzIRMmdnH953rv4,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7026,Salmie Nasi Kerabu,ChIJJ2qv6pGfPzIR8woMzfxiChA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7027,KOPITIAM,ChIJ1bb8o_ZLzDERe47zdqI0uVw,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7028,Restoran Homeland (Restoran Kita),ChIJnyopqrtLzDERIKqsCGPGRbk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7029,Sakura Seafood,ChIJwcbs0ldLzDERqZrl_HqywVo,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
7030,Ah Seng Chicken Rice,ChIJTTrgwl9JzDERqwpSH94BfGQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7031,Restoran Hakka,ChIJC6suyiw2zDERoQewP8eR84c,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7032,"Sabah Chicken Rice,Bandar Lahad Datu",ChIJQ1kXL_SfPzIRrRrKvYRYFMo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7033,Restoran Tasik Limbongan,ChIJEQC6LbDx0TERxl1CvJMHGz0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7034,Keria Antarabangsa,ChIJzWX01K3x0TERH-_RThfaW_Y,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7035,Kedai Kopi Ekonomi,ChIJCxYoeplJzDERPsb6ievBubk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7036,Sara Thai Kitchen,ChIJ6SfNKiJJzDER-ianUZwgZ_g,,Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
7037,Zafran,ChIJoWHhHdw3zDERERzpOfzoN5s,"8, Lorong Raja Uda 1, Kuala Lumpur, 50300",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7038,Kedai Makanan LOT 18897,ChIJ31x1-odPzDERUsMbFU0Hbqk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7039,Daorae Korean BBQ,ChIJHV_RhtPHSjARNoOBQB079KQ,"47, Jalan Icon City, Bukit Mertajam, 14000",Restaurant,,,"Korean BBQ, Kimchi, Bibimbap, Bulgogi",Unique dining experience worth exploring!,Processed
7040,家乡重庆火锅馆,ChIJPcUVhtPHSjARuRGW1aKHWFc,"40, Jalan Icon City, Bukit Mertajam, 14000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7041,MRY Thai Food,ChIJIR3lmFGHSzARs3NwtkFwBnA,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7042,Restoran Faize,ChIJSfqKOtRFzDERuSjk_mImNAI,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7043,Selera Adik Manja,ChIJP4X3a6dLzDER6LwsGbJtwWg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7044,Virus Cafe,ChIJXX0HTGVPzDERXdWWCKx-R1Q,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
7045,338 Cafe,ChIJ-yd6ZeOszTER4E9rp90vI_g,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
7046,Bukit Penara,ChIJxykU_aLpSjAR0QscnQwS4jQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7047,Restoran SS13 New Sea View,ChIJgTdLI0tNzDERFruWVqee9uU,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7048,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7049,Sushi King,ChIJH07wKW9LzDERMLPb5NQghos,,Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
7050,Sushi Ya,ChIJ-XhflvFIzDERH-tlff1VOP0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7051,Restoran A Hassan,ChIJE9Uqbv1KzDERoO3mmDbDnNA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7052,Chef Ammar Restaurant,ChIJ-0wyIOdMzDERl43ZHM5GWpg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7053,Radi Corner,ChIJE68o5-ZMzDERmTgVQcpIAvI,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7054,David's Diner,ChIJj2ATbkNJzDERLKwnTbOicXg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7055,Nanyang Kitchen,ChIJ87HCDgBLzDER3a0OcAtXLiA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7056,Hao Kee Seafood Restaurant,ChIJBTiJhs81zDERe5oPyvmRGEE,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
7057,San Yu Soon Restaurant,ChIJPwx5UoHxzTERqmbTxt-FZ2c,Pintasan Port Dickson,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7058,Ah Cui Bak Kut Teh,ChIJJ8VwxuHxzTERbsVwz6a6Y0w,"No.40, Jalan Pasar Besar",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7059,Fatt Kee Restaurant,ChIJyxQtdyM2zDERh40cqkF4Im4,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7060,Ayam Gunting Abe Si,ChIJq_wkCXTRSjARAi-Evr5GIhA,"2798, Batu 19, Badak, 16310",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7061,Restoran Anis Putri,ChIJoeBLKDZKzDERGLjL8niKlT0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7062,Loong Hot Pot,ChIJmSgpvU9JzDERkQp2msPz3gc,"22, Jalan Solaris 4, Kuala Lumpur, 50480",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
7063,Restoran A Hassan,ChIJE9Uqbv1KzDERoO3mmDbDnNA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7064,Sate Kajang Retro,ChIJn-TOZcdMzDEROOo6LAmgUS0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7065,Kedai Makanan Swisang,ChIJ31x1-odPzDERUsMbFU0Hbqk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7066,Restoran Liang Tang,ChIJPeslccftyjERVBITgsoZ5Tg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7067,Heart Storm,ChIJJ0zZs8w3zDERDkNJB1j3chk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7068,Restoran Mei Jin Lee,ChIJKS7VlcLtyjERSXIJjAdiaPs,"59A, Persiaran Wira Jaya Timur 23A, Ipoh, 31350",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7069,Restoran De De Guan,ChIJ35pYampKzDERl5OlJm1sM4k,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7070,Restoran Mei Sek Wan,ChIJLTiiNXzsyjERkhC_Q51fYtk,"1A-9A, Persiaran Wira Jaya Timur 23A, Ipoh, 31350",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7071,Restoran Tai Kar Hou,ChIJU7_STnztyjERz6wmtDIHwnE,"13, Lengkok Wira Jaya Timur 1, Ipoh, 31350",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7072,Pandan,ChIJ6xb5IkM2zDERD4uZg7YJQwI,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7073,Restoran Nur Alimah,ChIJ3RlMVvhFzDERD_EJZxLc0M8,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
7074,Ramli Selera Kampung,ChIJ_f-TWYK3zTERUHVAjb8iBys,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7075,Cheap Indian Food,ChIJLQEkxlM3zDERuLr-T0y_7tM,,Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Unique dining experience worth exploring!,Processed
7076,Lisette's Café & Bakery,ChIJP3LIz81JzDERIfG49gp0oFY,"Lot GF-18, Jalan Kiara, Kuala Lumpur, 50480",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7077,Eatomo,ChIJ_3eaZPy3zTERScEOG-m2lyM,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7078,Rising Son,ChIJk0XidGtGzDERGE85lT7-81M,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7079,Sumi,ChIJH5XRbwBJzDERrTWmdW2oFCI,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7080,Idli Only Cafe,ChIJ187graJJzDERoYF82JhG9SA,"64, Jalan Maarof, Bangsar Baru, 59100",Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
7081,Maria's SteakCafe,ChIJ_efiq6JJzDERJT0eH-4FxV0,"58, Jalan Maarof, 59100",Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
7082,Anjappar Indian Chettinad Restaurant,ChIJE53z0cFJzDER_q9v2QAcxws,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
7083,Namaste India Bangsar,ChIJkaR-W9NJzDERT3qYBU7rYSs,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
7084,La Cave Wine & Spirit,ChIJt5nQvKJJzDERUYd5pkYkE7I,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
7085,Daddy Arumugam Recipe,ChIJv0VqmrJJzDERjuWnKAGISIw,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
7086,Knowhere Bangsar,ChIJ8z_u8ERJzDERIagTsFT_cBA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
